BHK,project,Location,City,Total sqft,price_sqft,price in Lakh
1,NA,Borivali West,Mumbai,515,24271,125
1,Mahindra Mahindra ParkGhatkopar West,Ghatkopar West,Mumbai,540,21296,115
1,NA,Khadawali,Mumbai,250,1520,3.8
1,NA,Mulund East,Mumbai,264,7575,20
1,NA,Dombivali East,Mumbai,380,3947,15
1,Reputed Builder Arjuna Park CHSThane West,Thane West,Mumbai,750,11733,88
2,NA,Kalamboli,Mumbai,900,8333,75
1,Satyam Samruddhi ApartmentKaranjade,Karanjade,Mumbai,600,7000,42
2,Runwal Runwal Forests Tower 9 To 11Kanjurmarg,Kanjurmarg,Mumbai,676,22189,150
2,Lodha Upper ThaneAnjurdive,Anjurdive,Mumbai,830,9638,80
0,NA,Thane West,Mumbai,2088,525,10.96
0,NA,Shahapur,Mumbai,2088,525,10.96
3,Jay ComplexNavade,Navade,Mumbai,1505,3521,53
1,Reputed Builder Sai Pratik CHSAiroli,Airoli,Mumbai,660,10757,71
1,NA,Karanjade,Mumbai,600,5833,35
1,Reputed Builder Vraj VillaGhatkopar West,Ghatkopar West,Mumbai,540,18518,100
1,NA,matunga east,Mumbai,350,20571,72
2,NA,Vichumbe,Mumbai,960,6458,62
1,NA,Andheri East,Mumbai,650,19230,125
1,Sethia Sea ViewGoregaon West,Goregaon West,Mumbai,450,22222,100
1,Shri Adiraj Nayan ParadiseNala Sopara,Nala Sopara,Mumbai,690,5072,35
1,NA,Bhangarwadi,Mumbai,674,4154,28
2,N Rose Northern HeightsDahisar,Dahisar,Mumbai,425,5068,21.54
2,Ekta WestBayBandra West,Bandra West,Mumbai,790,47468,375
1,Shreyash ResidencyUlwe,Ulwe,Mumbai,550,7272,40
2,NA,Borivali West,Mumbai,1151,13814,159
1,NA,Karanjade,Mumbai,660,6363,42
1,NA,Dombivali East,Mumbai,385,3870,14.9
2,NA,Mira Road East,Mumbai,800,8750,70
1,NA,Mandvi,Mumbai,270,20370,55
1,Ravi Gaurav ValleyMira Road East,Mira Road East,Mumbai,850,5647,48
2,Rachana Yash EnclaveDombivali,Dombivali,Mumbai,950,9473,90
2,NA,Kalyan West,Mumbai,830,6867,57
1,NA,Virar West,Mumbai,540,5925,32
1,Reputed Builder Orchid TowerKamathipura,Kamathipura,Mumbai,890,28089,250
1,Unimont AurumKarjat,Karjat,Mumbai,500,3600,18
1,NA,Neral,Mumbai,470,5531,26
1,NA,Neral,Mumbai,410,4512,18.5
2,Reputed Builder Horizon FloraMulund West,Mulund West,Mumbai,1000,18500,185
2,Hiranandani MeadowsThane West,Thane West,Mumbai,1050,16666,175
2,NA,Malad West,Mumbai,1050,22761,239
1,NA,Malad West,Mumbai,580,16034,93
1,NA,Borivali West,Mumbai,560,14642,82
1,NA,Goregaon West,Mumbai,570,18421,105
1,Reputed Builder Gokul VillageMira Road East,Mira Road East,Mumbai,575,9043,52
1,NA,Nalasopara West,Mumbai,350,6857,24
1,Unique Estate MumbaiMira Road East,Mira Road East,Mumbai,740,10270,76
3,Unique The EmpressMira Road East,Mira Road East,Mumbai,1565,10543,165
2,Atul Blue Orbit Phase 3Malad West,Malad West,Mumbai,1080,17592,190
3,KUL CourtSantacruz East,Santacruz East,Mumbai,1500,26666,400
